"",,A,B,C,D,E,F,G
SOUTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Fresno,64,16,41,4,3,0,0,0
Kings,4,2,2,0,0,0,0,0
Fresno-Kings,68,18,43,4,3,0,0,0
Madera,102,46,43,10,2,1,0,0
Mariposa,38,16,19,3,0,0,0,0
Merced,20,4,12,3,1,0,0,0
Madera-Mariposa,160,66,74,16,3,1,0,0
Riverside,224,148,59,9,5,1,0,2
Riverside,224,148,59,9,5,1,0,2
Monterey,70,33,34,2,1,0,0,0
San Benito,19,8,9,1,0,1,0,0
San Benito-Monterey,89,41,43,3,1,1,0,0
Inyo,22,15,5,1,0,1,0,0
San Bernardino,104,74,27,2,0,1,0,0
San Bernardino,126,89,32,3,0,2,0,0
San Diego,197,99,75,15,5,0,2,1
San Diego,197,99,75,15,5,0,2,1
San Luis Obispo,122,63,54,5,0,0,0,0
San Luis Obispo,122,63,54,5,0,0,0,0
Tulare,60,25,29,4,2,0,0,0
Tulare,60,25,29,4,2,0,0,0
Calaveras,98,40,53,5,0,0,0,0
E. San Joaquin,7,0,3,3,0,1,0,0
E. Stanislaus,23,9,11,3,0,0,0,0
Tuolumne,83,53,28,1,1,0,0,0
Tuolumne-Calaveras,211,102,95,12,1,1,0,0
SOUTHERN REGION,,,,,,,,
TOTAL,"1,257",651,504,71,20,6,2,3
STATE TOTAL,"3,672","1,964","1,465",175,45,12,5,6
