"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Amador,51,25,23,3,0,0,0,0
El Dorado,143,105,37,1,0,0,0,0
Sacramento,15,4,9,2,0,0,0,0
San Joaquin,7,2,5,0,0,0,0,0
Amador-El Dorado,216,136,74,6,0,0,0,0
Butte,164,94,62,8,0,0,0,0
Plumas,3,1,2,0,0,0,0,0
Tehama,1,0,1,0,0,0,0,0
Butte,168,95,65,8,0,0,0,0
Del Norte,17,14,3,0,0,0,0,0
Humboldt,80,43,33,3,0,1,0,0
Siskiyou,1,0,1,0,0,0,0,0
W. Trinity,1,0,1,0,0,0,0,0
Humboldt-Del Norte,99,57,38,3,0,1,0,0
Lassen,36,23,11,2,0,0,0,0
Modoc,29,17,11,1,0,0,0,0
Plumas,6,5,1,0,0,0,0,0
Lassen-Modoc,71,45,23,3,0,0,0,0
Mendocino,128,46,81,0,0,1,0,0
Mendocino,128,46,81,0,0,1,0,0
Nevada,59,37,21,1,0,0,0,0
Placer,78,39,39,0,0,0,0,0
Sierra,5,0,4,1,0,0,0,0
Sutter,4,0,1,1,2,0,0,0
Yuba,55,14,33,5,2,1,0,0
Nevada-Yuba-Placer,201,90,98,8,4,1,0,0
San Mateo,10,4,6,0,0,0,0,0
Santa Cruz,60,41,19,0,0,0,0,0
San Mateo-Santa Cruz,70,45,25,0,0,0,0,0
"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Alameda,49,15,24,7,1,2,0,0
Contra Costa,68,27,32,8,1,0,0,0
Santa Clara,38,20,14,4,0,0,0,0
W. San Joaquin,21,11,7,2,1,0,0,0
W. Stanislaus,17,5,11,1,0,0,0,0
Santa Clara,193,78,88,22,3,2,0,0
E. Trinity,28,6,20,2,0,0,0,0
Shasta,158,76,74,8,0,0,0,0
Shasta-Trinity,186,82,94,10,0,0,0,0
Shasta,1,1,0,0,0,0,0,0
Siskiyou,56,34,18,4,0,0,0,0
Siskiyou,57,35,18,4,0,0,0,0
Colusa,11,6,3,2,0,0,0,0
Lake,57,22,32,3,0,0,0,0
Napa,30,10,17,2,0,1,0,0
Solano,16,2,12,1,0,1,0,0
Sonoma,74,43,30,1,0,0,0,0
Yolo,23,5,14,4,0,0,0,0
Sonoma-Lake-Napa,211,88,108,13,0,2,0,0
Glenn,2,0,2,0,0,0,0,0
Tehama,83,37,37,8,1,0,0,0
Tehama-Glenn,85,37,39,8,1,0,0,0
NORTHERN REGION,,,,,,,,
TOTAL,"1,685",834,751,85,8,7,0,0
